Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_[0],Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,id
"2023/06/06 6:38:49 PM GMT+5:30",32,Female,"Once a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",Yes,"Multiple times a day",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Always,Yes,Heavily,Yes,1,Yes,1,1,"User-friendly website/app interface","Customer service responsiveness",48
"2023/06/05 7:04:21 PM GMT+5:30",53,Female,"Less than once a month","Home and Kitchen",No,"Few times a week",Keyword,"Multiple pages",3,No,Rarely,"Changed my mind or no longer need the item",Never,No,Moderately,Yes,2,Yes,2,1,"Competitive prices","Reducing packaging waste",50
"2023/06/05 12:37:54 AM GMT+5:30",30,Female,"Once a month","Home and Kitchen",No,"Few times a month",Filter,"Multiple pages",2,Yes,Sometimes,"Found a better price elsewhere",Often,Yes,Moderately,Yes,1,No,4,1,"User-friendly website/app interface","Reducing packaging waste",51
"2023/06/06 6:39:26 PM GMT+5:30",30,Male,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen",No,"Few times a month",Filter,"Multiple pages",3,Yes,Always,"High shipping costs",Often,Yes,Moderately,Yes,4,No,3,2,"Competitive prices","Product quality and accuracy",52
"2023/06/05 8:06:04 PM GMT+5:30",23,"Prefer not to say","Once a week","Beauty and Personal Care",No,"Multiple times a day",categories,"Multiple pages",5,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,Yes,Occasionally,Sometimes,3,Sometimes,3,3,"Product recommendations","Reducing packaging waste",53
"2023/06/05 8:07:52 PM GMT+5:30",25,Others,"Few times a month","Groceries and Gourmet Food;Clothing and Fashion",Yes,"Few times a week",Filter,"Multiple pages",5,Maybe,Never,"Changed my mind or no longer need the item",Sometimes,Yes,Occasionally,Sometimes,4,Sometimes,3,3,"Product recommendations","Customer service responsiveness",54
"2023/06/05 12:39:14 AM GMT+5:30",22,Female,"Less than once a month","Beauty and Personal Care;others",No,"Few times a month",others,"Multiple pages",1,Yes,Rarely,"Found a better price elsewhere",Often,No,Moderately,Sometimes,5,Yes,3,2,"User-friendly website/app interface","Product quality and accuracy",56
"2023/06/06 6:40:30 PM GMT+5:30",25,Male,"Less than once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",No,Rarely,Keyword,"Multiple pages",1,Yes,Sometimes,"Changed my mind or no longer need the item",Always,No,Heavily,Yes,1,Yes,1,1,"Wide product selection","Customer service responsiveness",57
"2023/06/05 12:57:05 AM GMT+5:30",26,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Multiple times a day",categories,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Never,Yes,Moderately,No,2,Yes,2,2,"User-friendly website/app interface","Shipping speed and reliability",58
"2023/06/06 6:41:11 PM GMT+5:30",20,Female,"Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",Yes,"Multiple times a day",Keyword,"Multiple pages",1,Yes,Always,"High shipping costs",Always,Yes,Heavily,Yes,4,Yes,1,1,"Wide product selection","Product quality and accuracy",59
"2023/06/05 2:56:10 AM GMT+5:30",24,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Always,"High shipping costs",Always,Yes,Heavily,Yes,1,Yes,1,1,"Wide product selection","Customer service responsiveness",60
"2023/06/05 8:44:09 PM GMT+5:30",23,Female,"Less than once a month","Beauty and Personal Care",No,Rarely,categories,"Multiple pages",1,Maybe,Rarely,"Found a better price elsewhere",Rarely,No,Occasionally,Yes,2,Sometimes,3,2,"User-friendly website/app interface","Shipping speed and reliability",61
"2023/06/04 7:13:12 PM GMT+5:30",21,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion",No,Rarely,Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,"Competitive prices","Shipping speed and reliability",63
"2023/06/05 4:26:25 AM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",Yes,"Few times a month",Keyword,"Multiple pages",5,Yes,Sometimes,"High shipping costs",Always,No,Heavily,Yes,4,Yes,4,4,"Wide product selection","Product quality and accuracy",66
"2023/06/06 6:42:07 PM GMT+5:30",42,Male,"Less than once a month","Groceries and Gourmet Food;Home and Kitchen;others",Yes,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Always,Yes,Heavily,Yes,1,Yes,1,1,"Wide product selection","Product quality and accuracy",67
"2023/06/05 8:47:42 PM GMT+5:30",30,"Prefer not to say","Few times a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Few times a week",Filter,"Multiple pages",5,Yes,Often,others,Always,Yes,Heavily,Yes,5,Sometimes,5,3,"Competitive prices","Product quality and accuracy",68
"2023/06/05 7:16:40 AM GMT+5:30",24,Female,"Less than once a month","Clothing and Fashion",Sometimes,"Few times a month",Filter,"Multiple pages",3,Maybe,Rarely,"Changed my mind or no longer need the item",Sometimes,No,Occasionally,Sometimes,3,Sometimes,3,3,"Product recommendations","Product quality and accuracy",69
"2023/06/06 6:43:02 PM GMT+5:30",37,Female,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",No,"Few times a month",categories,"Multiple pages",2,No,Often,"Found a better price elsewhere",Often,No,Moderately,No,2,No,1,1,"Product recommendations","Reducing packaging waste",70
"2023/06/05 8:43:26 AM GMT+5:30",23,Female,"Few times a month",others,No,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Always,No,Heavily,Yes,4,Sometimes,3,3,"Wide product selection","Product quality and accuracy",71
"2023/06/04 7:33:12 PM GMT+5:30",23,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",No,Rarely,Keyword,"Multiple pages",1,Yes,Rarely,"Found a better price elsewhere",Rarely,No,Heavily,Yes,3,Yes,3,4,"Wide product selection","Product quality and accuracy",72
"2023/06/05 8:49:12 PM GMT+5:30",28,Others,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",No,"Few times a month",Keyword,"Multiple pages",3,No,Never,"High shipping costs",Never,Yes,Occasionally,No,4,No,4,3,"Competitive prices","Shipping speed and reliability",73
"2023/06/04 7:45:33 PM GMT+5:30",22,Female,"Less than once a month","Clothing and Fashion",No,"Few times a month",categories,"Multiple pages",1,Maybe,Sometimes,"Found a better price elsewhere",Sometimes,No,Heavily,Yes,3,Sometimes,3,2,"Competitive prices","Shipping speed and reliability",75
"2023/06/06 6:43:32 PM GMT+5:30",28,Female,"Multiple times a week","Beauty and Personal Care;Clothing and Fashion;others",Yes,"Multiple times a day",Keyword,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Always,Yes,Heavily,Yes,3,Sometimes,2,1,"Wide product selection","Customer service responsiveness",76
"2023/06/04 7:48:31 PM GMT+5:30",25,Female,"Multiple times a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Sometimes,Yes,Heavily,Yes,3,Yes,3,1,"Wide product selection","Product quality and accuracy",77
"2023/06/05 9:20:17 AM GMT+5:30",24,Male,"Few times a month","Clothing and Fashion",No,"Few times a month",Keyword,"Multiple pages",1,Yes,Always,"Changed my mind or no longer need the item",Often,No,Heavily,Yes,1,Yes,1,2,"User-friendly website/app interface","Product quality and accuracy",79
"2023/06/05 9:56:58 AM GMT+5:30",23,Female,"Once a month","Beauty and Personal Care;Home and Kitchen",No,"Few times a month",Keyword,"Multiple pages",1,Yes,Rarely,"Changed my mind or no longer need the item",Never,No,Heavily,Yes,5,No,4,3,"Competitive prices","Customer service responsiveness",80
"2023/06/05 10:37:36 AM GMT+5:30",24,Female,"Less than once a month","Beauty and Personal Care;Clothing and Fashion",No,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,"Found a better price elsewhere",Rarely,No,Heavily,Yes,1,Yes,2,2,"User-friendly website/app interface","Shipping speed and reliability",82
"2023/06/05 11:20:41 AM GMT+5:30",23,Female,"Less than once a month","Clothing and Fashion",No,"Few times a month",Keyword,"Multiple pages",1,Maybe,Rarely,"Changed my mind or no longer need the item",Never,No,Moderately,Yes,3,Sometimes,3,3,"Wide product selection","Reducing packaging waste",84
"2023/06/05 11:54:52 AM GMT+5:30",26,Female,"Less than once a month","Beauty and Personal Care;Home and Kitchen",No,Rarely,Filter,"Multiple pages",1,Maybe,Sometimes,"High shipping costs",Sometimes,Yes,Heavily,Yes,4,Yes,2,2,"Product recommendations","Shipping speed and reliability",85
"2023/06/05 1:27:08 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Clothing and Fashion",Yes,"Few times a month",Keyword,"Multiple pages",4,Yes,Sometimes,"High shipping costs",Sometimes,Yes,Heavily,Yes,3,No,3,3,"Product recommendations","Reducing packaging waste",88
"2023/06/04 8:01:45 PM GMT+5:30",24,Female,"Once a month","Clothing and Fashion;Home and Kitchen",No,"Few times a month",Keyword,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Often,Yes,Moderately,Yes,2,Yes,2,2,"Wide product selection","Product quality and accuracy",89
"2023/06/04 8:02:28 PM GMT+5:30",21,Female,"Less than once a month","Beauty and Personal Care",Yes,"Few times a week",Keyword,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Always,Yes,Heavily,Yes,5,Sometimes,3,1,"User-friendly website/app interface","Reducing packaging waste",90
"2023/06/04 8:39:53 PM GMT+5:30",16,Male,"Few times a month","Clothing and Fashion;others",Sometimes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Never,No,Heavily,Yes,3,Sometimes,3,2,"Wide product selection","Shipping speed and reliability",92
"2023/06/04 8:45:45 PM GMT+5:30",21,Female,"Less than once a month","Clothing and Fashion",No,"Few times a month",Keyword,"Multiple pages",1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,"Wide product selection","Shipping speed and reliability",93
"2023/06/04 8:46:02 PM GMT+5:30",23,Female,"Few times a month","Beauty and Personal Care;Home and Kitchen",Sometimes,"Few times a month",Keyword,"Multiple pages",1,Yes,Sometimes,"High shipping costs",Rarely,No,Moderately,Yes,2,Sometimes,3,2,"Wide product selection","Customer service responsiveness",94
"2023/06/05 8:52:01 PM GMT+5:30",25,Male,"Few times a month",others,No,Rarely,others,"Multiple pages",1,Maybe,Sometimes,"Changed my mind or no longer need the item",Never,No,Moderately,Sometimes,2,Sometimes,2,3,"Wide product selection","Product quality and accuracy",95
"2023/06/05 9:56:02 PM GMT+5:30",55,Others,"Few times a month","Groceries and Gourmet Food",Yes,"Multiple times a day",Keyword,"Multiple pages",3,Yes,Sometimes,"High shipping costs",Often,Yes,Rarely,Yes,4,Yes,3,3,"Product recommendations","Customer service responsiveness",96
"2023/06/05 9:56:08 PM GMT+5:30",24,Female,"Once a month","Beauty and Personal Care;Home and Kitchen;others",No,"Few times a week",Keyword,"Multiple pages",2,Yes,Rarely,"High shipping costs",Always,Yes,Moderately,Yes,4,Sometimes,3,4,"Wide product selection","Product quality and accuracy",97
"2023/06/05 9:58:17 PM GMT+5:30",62,Female,"Less than once a month","Beauty and Personal Care",Sometimes,Rarely,Filter,"Multiple pages",3,Maybe,Sometimes,"Found a better price elsewhere",Often,No,Never,Sometimes,5,Yes,4,3,"User-friendly website/app interface","Shipping speed and reliability",98
"2023/06/05 10:06:15 PM GMT+5:30",40,Female,"Once a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen",Sometimes,"Few times a week",categories,"Multiple pages",2,Maybe,Often,"Found a better price elsewhere",Often,Yes,Occasionally,Sometimes,2,No,2,2,"Competitive prices","Shipping speed and reliability",101
"2023/06/05 10:06:46 PM GMT+5:30",22,Others,"Less than once a month",others,Yes,"Few times a month",categories,"Multiple pages",4,Maybe,Often,"Found a better price elsewhere",Rarely,Yes,Rarely,No,3,No,3,4,"User-friendly website/app interface","Reducing packaging waste",102
"2023/06/04 8:48:59 PM GMT+5:30",25,Female,"Less than once a month","Beauty and Personal Care",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Rarely,No,Heavily,Yes,4,Sometimes,3,2,"Wide product selection","Product quality and accuracy",103
"2023/06/04 8:49:49 PM GMT+5:30",64,Male,"Once a week","Groceries and Gourmet Food",No,"Few times a month",Keyword,"Multiple pages",3,No,Often,"Changed my mind or no longer need the item",Never,No,Occasionally,Yes,2,Yes,1,2,"Competitive prices","Reducing packaging waste",104
"2023/06/04 8:54:36 PM GMT+5:30",21,Male,"Less than once a month",others,No,"Few times a week",others,"Multiple pages",1,Yes,Never,others,Never,No,Never,Sometimes,3,Sometimes,3,3,.,.,106
"2023/06/04 9:10:08 PM GMT+5:30",16,Female,"Less than once a month","Clothing and Fashion",No,"Few times a month",categories,"Multiple pages",2,Yes,Sometimes,"Changed my mind or no longer need the item",Often,No,Moderately,Yes,3,Yes,2,2,"Wide product selection","Shipping speed and reliability",107
"2023/06/05 10:07:33 PM GMT+5:30",24,Female,"Less than once a month","Beauty and Personal Care;Home and Kitchen",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Sometimes,"Found a better price elsewhere",Never,No,Heavily,Yes,1,Sometimes,3,1,"User-friendly website/app interface","Product quality and accuracy",109
"2023/06/05 10:09:03 PM GMT+5:30",31,Female,"Once a month","Home and Kitchen;others",Sometimes,Rarely,others,"Multiple pages",4,No,Never,"Changed my mind or no longer need the item",Often,Yes,Never,Sometimes,5,No,4,2,"User-friendly website/app interface","Reducing packaging waste",111
"2023/06/06 8:46:03 AM GMT+5:30",23,Female,"Once a week","Clothing and Fashion",Sometimes,"Few times a week",categories,"Multiple pages",5,No,Rarely,others,Sometimes,No,Occasionally,Sometimes,3,Yes,3,3,"Product recommendations","Product quality and accuracy",112
"2023/06/06 7:23:25 PM GMT+5:30",17,Male,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion",No,"Few times a week",categories,"Multiple pages",3,Maybe,Never,"Changed my mind or no longer need the item",Always,Yes,Moderately,No,2,No,2,2,"Wide product selection","Customer service responsiveness",114
"2023/06/06 7:31:34 PM GMT+5:30",27,Female,"Once a month","Beauty and Personal Care",No,"Few times a week",Keyword,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Sometimes,Yes,Heavily,Yes,3,Sometimes,3,2,"Wide product selection","Shipping speed and reliability",115
"2023/06/06 7:39:44 PM GMT+5:30",23,Male,"Less than once a month","Beauty and Personal Care;Home and Kitchen;others",No,Rarely,Filter,"Multiple pages",1,No,Often,"Changed my mind or no longer need the item",Never,No,Heavily,Yes,5,No,5,2,"Wide product selection","Product quality and accuracy",116
"2023/06/06 7:40:53 PM GMT+5:30",57,Female,"Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",No,"Few times a week",Filter,"Multiple pages",2,No,Always,"Changed my mind or no longer need the item",Rarely,No,Occasionally,Yes,3,Sometimes,3,1,"Product recommendations","Reducing packaging waste",118
"2023/06/06 7:42:13 PM GMT+5:30",26,"Prefer not to say","Once a month","Beauty and Personal Care",No,"Few times a month",categories,"Multiple pages",2,No,Sometimes,"High shipping costs",Often,No,Heavily,No,2,No,2,2,"Wide product selection","Shipping speed and reliability",120
"2023/06/06 7:42:51 PM GMT+5:30",46,Male,"Once a week","Beauty and Personal Care",Sometimes,Rarely,Keyword,"Multiple pages",2,Yes,Often,"Found a better price elsewhere",Often,Yes,Heavily,No,2,No,2,2,"Competitive prices","Customer service responsiveness",121
"2023/06/06 7:46:27 PM GMT+5:30",26,Female,"Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others",Sometimes,"Few times a week",Keyword,"Multiple pages",1,Maybe,Often,others,Often,Yes,Moderately,Yes,3,Sometimes,3,2,"Competitive prices","Add more familiar brands to the list",122
"2023/06/06 7:54:19 PM GMT+5:30",24,Male,"Once a month",others,No,"Few times a month",Filter,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Often,Yes,Heavily,Yes,1,Yes,3,2,"User-friendly website/app interface","Shipping speed and reliability",123
"2023/06/06 8:01:47 PM GMT+5:30",26,Female,"Once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion",No,"Few times a week",categories,"Multiple pages",1,Yes,Often,"Changed my mind or no longer need the item",Never,Yes,Heavily,Yes,2,Yes,1,1,"User-friendly website/app interface","Shipping speed and reliability",124
"2023/06/06 8:08:19 PM GMT+5:30",27,Male,"Once a month","Clothing and Fashion",No,"Few times a month",categories,"Multiple pages",5,Maybe,Often,"High shipping costs",Never,Yes,Heavily,Yes,3,Yes,1,2,"Wide product selection","Shipping speed and reliability",125
